23174114 function calls (23171383 primitive calls) in 150.720 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:127(ModeFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:145(GaussianBlur)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:159(UnsharpMask)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:184(BLUR)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:195(CONTOUR)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:204(DETAIL)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:21(Filter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:213(EDGE_ENHANCE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:222(EDGE_ENHANCE_MORE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:231(EMBOSS)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:240(FIND_EDGES)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:249(SMOOTH)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:25(Kernel)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:258(SMOOTH_MORE)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:269(SHARPEN)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:57(BuiltinFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:62(RankFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:85(MedianFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:99(MinFilter)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:23(ModeDescriptor)
        1    0.000    0.000    0.000    0.000 Queue.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Queue.py:13(Empty)
        1    0.000    0.000    0.000    0.000 Queue.py:17(Full)
        1    0.000    0.000    0.000    0.000 Queue.py:21(Queue)
        1    0.000    0.000    0.000    0.000 Queue.py:212(PriorityQueue)
        1    0.000    0.000    0.000    0.000 Queue.py:231(LifoQueue)
        1    0.000    0.000    0.000    0.000 SocketServer.py:120(<module>)
        1    0.000    0.000    0.000    0.000 SocketServer.py:155(BaseServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:355(TCPServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:481(UDPServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:507(ForkingMixIn)
        1    0.000    0.000    0.000    0.000 SocketServer.py:582(ThreadingMixIn)
        1    0.000    0.000    0.000    0.000 SocketServer.py:610(ForkingUDPServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:611(ForkingTCPServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:613(ThreadingUDPServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:614(ThreadingTCPServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:618(UnixStreamServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:621(UnixDatagramServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:624(ThreadingUnixStreamServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:626(ThreadingUnixDatagramServer)
        1    0.000    0.000    0.000    0.000 SocketServer.py:628(BaseRequestHandler)
        1    0.000    0.000    0.000    0.000 SocketServer.py:674(StreamRequestHandler)
        1    0.000    0.000    0.000    0.000 SocketServer.py:717(DatagramRequestHandler)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 StringIO.py:42(StringIO)
        1    0.000    0.000    0.000    0.000 Tkconstants.py:4(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:152(Event)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1527(CallWrapper)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1547(XView)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1568(YView)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1589(Wm)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1794(Tk)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1922(Pack)
        1    0.000    0.000    0.000    0.000 Tkinter.py:1961(Place)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2005(Grid)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2052(BaseWidget)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2108(Widget)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2115(Toplevel)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2143(Button)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2222(Canvas)
        1    0.000    0.000    0.000    0.000 Tkinter.py:224(Variable)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2463(Checkbutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2492(Entry)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2557(Frame)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2575(Label)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2597(Listbox)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2688(Menu)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2813(Menubutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2818(Message)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2823(Radiobutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2850(Scale)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2883(Scrollbar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:2923(Text)
        1    0.002    0.002    0.003    0.003 Tkinter.py:31(<module>)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3251(_setit)
        1    0.000    0.000    0.000    0.000 Tkinter.py:326(StringVar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3262(OptionMenu)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3299(Image)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3363(PhotoImage)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3427(BitmapImage)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3442(Spinbox)
        1    0.000    0.000    0.000    0.000 Tkinter.py:348(IntVar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3600(LabelFrame)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3622(PanedWindow)
        1    0.000    0.000    0.000    0.000 Tkinter.py:373(DoubleVar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3813(Studbutton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:3821(Tributton)
        1    0.000    0.000    0.000    0.000 Tkinter.py:392(BooleanVar)
        1    0.000    0.000    0.000    0.000 Tkinter.py:428(Misc)
       93    0.000    0.000    0.000    0.000 UserDict.py:103(__contains__)
       33    0.000    0.000    0.000    0.000 UserDict.py:35(__getitem__)
        5    0.000    0.000    0.000    0.000 UserDict.py:4(__init__)
        1    0.000    0.000    0.000    0.000 UserDict.py:57(items)
       78    0.000    0.000    0.000    0.000 UserDict.py:91(get)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:74(_Feature)
        7    0.000    0.000    0.000    0.000 __future__.py:75(__init__)
       17    0.015    0.001    0.394    0.023 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(ProjectionRegistry)
        1    0.000    0.000    0.010    0.010 __init__.py:100(<module>)
        1    0.003    0.003    0.061    0.061 __init__.py:101(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:1010(Manager)
       22    0.003    0.000    0.013    0.001 __init__.py:1012(_rc_params_in_file)
        1    0.000    0.000    0.000    0.000 __init__.py:1015(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1025(getLogger)
        1    0.002    0.002    0.056    0.056 __init__.py:106(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1071(_fixupParents)
        1    0.001    0.001    0.012    0.012 __init__.py:108(<module>)
       22    0.000    0.000    0.017    0.001 __init__.py:1088(rc_params_from_file)
        1    0.000    0.000    0.000    0.000 __init__.py:109(cpu_count)
        2    0.000    0.000    0.004    0.002 __init__.py:11(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1112(Logger)
        3    0.000    0.000    0.000    0.000 __init__.py:1127(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:113(Namespace)
        1    0.000    0.000    0.000    0.000 __init__.py:113(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:1254(rc_context)
        1    0.000    0.000    0.000    0.000 __init__.py:131(Value)
        1    0.001    0.001    0.001    0.001 __init__.py:133(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1370(get_backend)
        1    0.000    0.000    0.000    0.000 __init__.py:1384(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:1387(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1393(__init__)
        2    0.000    0.000    0.153    0.077 __init__.py:14(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:14(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1401(LoggerAdapter)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
        3    0.000    0.000    0.000    0.000 __init__.py:146(compare_versions)
        1    0.001    0.001    0.003    0.003 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:156(py_object)
        2    0.000    0.000    0.000    0.000 __init__.py:1567(getLogger)
        1    0.001    0.001    0.003    0.003 __init__.py:157(<module>)
       39    0.000    0.000    0.000    0.000 __init__.py:1574(unpack_labeled_data)
       39    0.001    0.000    0.002    0.000 __init__.py:1612(param)
        1    0.000    0.000    0.000    0.000 __init__.py:165(c_short)
        1    0.003    0.003    0.009    0.009 __init__.py:168(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1689(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:169(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:17(register)
        1    0.000    0.000    0.000    0.000 __init__.py:173(c_long)
        3    0.000    0.000    0.000    0.000 __init__.py:177(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:177(c_ulong)
        1    0.000    0.000    0.032    0.032 __init__.py:18(pylab_setup)
        1    0.000    0.000    0.000    0.000 __init__.py:186(c_int)
        1    0.000    0.000    0.001    0.001 __init__.py:19(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:190(c_uint)
        1    0.000    0.000    0.001    0.001 __init__.py:192(Semaphore)
        1    0.000    0.000    0.000    0.000 __init__.py:194(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:198(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:202(c_longdouble)
        2    0.000    0.000    0.000    0.000 __init__.py:205(_acquireLock)
        1    0.001    0.001    0.006    0.006 __init__.py:212(<module>)
        4    0.000    0.000    0.001    0.000 __init__.py:212(_is_writable_dir)
        2    0.000    0.000    0.000    0.000 __init__.py:214(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:223(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:225(LogRecord)
        1    0.001    0.001    0.053    0.053 __init__.py:228(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:23(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:23(ConvergenceWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char)
        1    0.001    0.001    0.001    0.001 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:24(StopWordError)
        1    0.000    0.000    0.000    0.000 __init__.py:240(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:241(Verbose)
        1    0.000    0.000    0.000    0.000 __init__.py:252(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:257(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:265(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:269(set_level)
        5    0.001    0.000    0.002    0.000 __init__.py:28(get_stop_words)
        1    0.000    0.000    0.000    0.000 __init__.py:280(set_fileo)
        1    0.000    0.000    0.000    0.000 __init__.py:288(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:291(c_wchar)
        2    0.000    0.000    0.000    0.000 __init__.py:294(loads)
       23    0.000    0.000    0.000    0.000 __init__.py:297(report)
        5    0.002    0.000    0.156    0.031 __init__.py:3(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:308(wrap)
        1    0.000    0.000    0.000    0.000 __init__.py:31(get_projection_names)
    14/10    0.000    0.000    0.001    0.000 __init__.py:319(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:329(CDLL)
       23    0.000    0.000    0.000    0.000 __init__.py:331(ge)
        1    0.003    0.003    0.138    0.138 __init__.py:341(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:346(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:347(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:356(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:36(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:385(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:391(__init__)
        3    0.003    0.001    0.012    0.004 __init__.py:4(<module>)
        2    0.002    0.001    0.011    0.006 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:425(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:426(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:428(checkdep_ps_distiller)
        1    0.001    0.001    0.001    0.001 __init__.py:44(<module>)
        2    0.001    0.001    0.006    0.003 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:469(checkdep_usetex)
       24    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:490(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:491(CFunctionType)
        5    0.000    0.000    0.000    0.000 __init__.py:498(cast)
        3    0.001    0.000    0.006    0.002 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:503(BufferingFormatter)
        9    0.000    0.000    0.000    0.000 __init__.py:513(_get_home)
        2    0.001    0.000    0.003    0.001 __init__.py:52(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:545(Filter)
        1    0.000    0.000    0.001    0.001 __init__.py:56(<module>)
